sample_name,breadth_classI,breadth_classII,depth_classI,depth_classII
03855000012090_TCRB,7.912018355882586e-06,7.912018355882586e-06,-17.708723,-17.708723
03855000012102_TCRB,2.0798668885191348e-05,2.4265113699389905e-05,-11.896579,-12.066504
03855000012107_TCRB,1.7385055806029137e-05,3.4770111612058274e-05,-11.807515,-5.97744
03855000012108_TCRB,5.534340583319497e-05,9.223900972199163e-05,10.062344,22.256615
03855000012148_TCRB,4.305908998919217e-06,6.889454398270747e-05,-17.330038,-1.7450752
03855000012150_TCRB,1.661626399920242e-05,4.652553919776677e-05,-13.859747,-1.5378189
03855000012153_TCRB,1.9611688566385566e-05,4.706805255932536e-05,-13.421518,-6.4215183
03855000012166_TCRB,1.752950800514199e-05,2.6294262007712983e-05,-13.129105,-9.129105
03855000012182_TCRB,0.0002904684841694676,0.00020125316403170256,262.02148,81.88539
03855000012194_TCRB,7.400472890217685e-06,5.550354667663264e-05,-17.067987,-3.3131008
03855000012204_TCRB,1.4435777631281367e-05,6.736696227931305e-05,-15.178257,-2.7859402
03855000012206_TCRB,2.4702947061584447e-05,4.9405894123168895e-05,-11.99456,-6.4095984
03855000012214_TCRB,8.193665477219562e-06,2.0484163693048905e-05,-16.603432,-13.603432
03855000012238_TCRB,2.850112579446888e-05,5.225206395652628e-05,-12.550585,-7.380659
03855000012257_TCRB,1.6352249251884596e-05,3.542987337908329e-05,-8.923872,-3.1324596
03855000012258_TCRB,2.3591768045736573e-05,6.291138145529753e-05,-11.543237,-3.9582748
03855000012267_TCRB,3.046677874748303e-05,4.708502170065559e-05,-7.186962,5.2053547
03855000012283_TCRB,3.426887358212536e-05,0.0,-14.6598015,-16.659801
03855000012312_TCRB,5.18960211320598e-06,4.6706419018853824e-05,-18.379665,-9.794703
03855000012313_TCRB,2.2959740095742115e-05,5.739935023935529e-05,-17.02891,-13.02891
03855000012321_TCRB,2.6917538121963364e-05,0.00023777158674400973,-9.8163805,37.308678
03855000012322_TCRB,1.344754783965144e-05,4.841117222274518e-05,-10.984282,0.6006794
03855000012339_TCRB,8.501738605544834e-06,4.6759562330496584e-05,-16.577389,-5.670498
03855000012347_TCRB,4.7556896542613624e-05,0.0005442622604321337,-6.161913,88.68935
03855000012348_TCRB,2.5528981776561843e-05,4.25483029609364e-05,-12.416679,-7.0947514
03855000012365_TCRB,3.074920436433707e-05,3.587407175839325e-05,-12.605801,-7.561407
03855000012368_TCRB,2.2141467370396304e-05,7.472745237508752e-05,-10.031141,9.045675
03855000012372_TCRB,2.490683287826474e-05,0.00014944099726958845,-11.00177,38.41771
03855000012374_TCRB,5.797965742305271e-05,0.00010767650664281218,-6.432891,-2.491785
03855000012376_TCRB,0.00024411947679683747,0.0003543669824470221,37.19162,35.398094
03855000012383_TCRB,1.409969897142696e-05,6.697357011427806e-05,-13.826643,4.0981693
03855000012385_TCRB,9.164264865583144e-06,5.04034567607073e-05,-17.501842,-3.5245628
03855000012422_TCRB,2.093824265329411e-05,9.422209193982349e-05,-13.7253275,-1.3102894
03855000012434_TCRB,3.85589740228192e-06,2.313538441369152e-05,-18.048977,-13.048977
03855000012444_TCRB,4.361289197086659e-05,0.00015991393722651084,-9.445343,16.286827
03855000012447_TCRB,2.4593893336284602e-05,3.074236667035575e-05,-15.282154,-13.697191
03855000012448_TCRB,1.186285355010721e-05,4.151998742537524e-05,-15.231838,-6.231838
03855000012452_TCRB,2.0762490945247003e-05,5.075275564393712e-05,-6.37426,2.547739
03855000012503_TCRB,1.9280899569650322e-05,0.00021980225509401366,-13.74152,39.745537
03855000012523_TCRB,2.6922157945570127e-05,5.047904614794399e-05,-10.553381,-1.9684181
03855000012612_TCRB,6.886664287637185e-05,0.0003693756299732672,-0.8815136,52.5595
03855000012615_TCRB,3.469748420107886e-05,3.469748420107886e-05,-4.049017,-3.2941294
03855000012622_TCRB,2.8159733271006458e-05,0.00015487853299053553,-7.798521,47.828712
03855000012639_TCRB,3.928953298777254e-05,8.699825161578204e-05,-5.3175697,17.481712
